Judul,Tahun,Durasi,Kategori,Skor,Pengguna ,Deskripsi,Pemeran
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,1h 58min,"Animation, Action, Adventure",8.6,"12,352","In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Mayo Suzukaze, Junko Iwao"
Line of Duty,2012,1h,"Crime, Drama, Mystery",8.6,"25,931",DS Steve Arnott is transferred to the police anti-corruption unit after the death of a man in a mistaken shooting during a counter-terrorist operation.,"Martin Compston, Vicky McClure"
Blackadder the Third,1987,3h,Comedy,8.6,"38,902","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.","Rowan Atkinson, Tony Robinson"
Daredevil,2015,54min,"Action, Crime, Drama",8.6,"343,247","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox, Vincent D'Onofrio"
The Outsider,2020,1h,"Crime, Drama, Mystery",8.6,"18,448",Investigators are confounded over an unspeakable crime that's been committed.,"Yul Vazquez, Ben Mendelsohn"
Mad Men,2007,47min,Drama,8.6,"190,854","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","Jon Hamm, Elisabeth Moss"
Through the Wormhole,2010,1h,Documentary,8.6,"16,245","Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there ...
                    See full summary »","Morgan Freeman, Sean Carroll"
Making a Murderer,2015,1h,"Documentary, Crime",8.6,"81,192","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Dolores Avery, Steven Avery"
QI,2003,30min,"Comedy, Game-Show",8.6,"28,522","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Alan Davies, Stephen Fry"
Mindhunter,2017,1h,"Crime, Drama, Thriller",8.6,"177,796","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff, Holt McCallany"
Sacred Games,2018,50min,"Action, Crime, Drama",8.6,"64,019","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","Saif Ali Khan, Nawazuddin Siddiqui"
The Bugs Bunny Show,1960,30min,"Animation, Comedy",8.6,"29,913","Bugs Bunny, the famous, Oscar-winning cartoon rabbit, hosts his first weekly television series, along with all his fellow Warner Brothers cartoon stars, including Daffy Duck, Porky Pig, ...
                    See full summary »","Mel Blanc, June Foray"
North & South,2004,3h 55min,"Drama, Romance",8.6,"28,267","North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Daniela Denby-Ashe, Richard Armitage"
Long Way Round,2004,5h 15min,"Documentary, Adventure",8.6,"11,215","This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, ...
                    See full summary »","Ewan McGregor, Charley Boorman"
Peep Show,2003,25min,Comedy,8.6,"48,819",Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,"David Mitchell, Robert Webb"
The Eric Andre Show,2012,11min,"Comedy, Talk-Show",8.6,"10,659","Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","Eric André, Hannibal Buress"
Satyamev Jayate,2012,1h 5min,"Documentary, Talk-Show",8.6,"6,016",Aamir Khan hosts and produces this documentary/talkshow that explores the social issues affecting modern India.,"Aamir Khan, Devendra Singh Gaur"
Father Ted,1995,25min,Comedy,8.5,"34,487","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.","Dermot Morgan, Ardal O'Hanlon"
Yeh Meri Family,2018,30min,"Comedy, Drama, Family",8.5,"16,640",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"Vishesh Bansal, Mona Singh"
MisteRogers' Neighborhood,1968,30min,"Family, Fantasy, Music",8.5,"6,555","Fred Rogers explores various topics for young viewers through presentations and music, both in his world and in the Neighborhood of Make-Believe.","Fred Rogers, Betty Aberlin"
Mind Your Language,1977,30min,Comedy,8.5,"6,654","Jeremy Brown is a put-upon language teacher who tries to make a living by teaching English to immigrants. With pupils from India, France, China, and many other countries, his lessons do not...
                    See full summary »","Barry Evans, George Camiller"
The Newsroom,2012,55min,Drama,8.5,"99,049","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","Jeff Daniels, Emily Mortimer"
Spaced,1999,25min,"Action, Comedy",8.5,"47,859","Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.","Jessica Hynes, Simon Pegg"
Umbre,2014,45min,"Crime, Drama, Thriller",8.5,"7,641","Relu is a family man. He has two children, a wife, and a double life. Seen through the eyes of his family, Relu Oncescu appears to be an ordinary taxi driver. No one suspects that Relu ...
                    See full summary »","Serban Pavlu, Maria Obretin"
Yes Minister,1980,1h,Comedy,8.5,"11,511","The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.","Paul Eddington, Nigel Hawthorne"
Skam,2015,30min,"Drama, Romance",8.5,"25,290","The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Josefine Frida Pettersen, Iman Meskini"
Monster,2004,24min,"Animation, Crime, Drama",8.5,"17,600",A brilliant neurosurgeon living in Germany finds his life in utter turmoil after getting involved with a psychopath that was once a former patient.,"Hidenobu Kiuchi, Liam O'Brien"
From the Earth to the Moon,1998,1h,"Action, Drama, History",8.5,"10,346",Dramatized portrayal of the Apollo manned space program.,"Tom Hanks, Nick Searcy"
Shameless,2011,46min,"Comedy, Drama",8.5,"186,202","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Emmy Rossum, William H. Macy"
Behzat Ç.: Bir Ankara Polisiyesi,2010,1h 30min,"Crime, Drama, Mystery",8.5,"24,986","Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other...
                    See full summary »","Erdal Besikçioglu, Inanç Konukçu"
Brass Eye,1997,25min,Comedy,8.5,"9,089","Controversal spoof of current affairs television, and the role of celebrity in the UK.","Christopher Morris, Mark Heap"
Hagane no renkinjutsushi,2003,24min,"Animation, Action, Adventure",8.5,"57,750","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.","Vic Mignogna, Aaron Dismuke"
Doctor Who,2005,45min,"Adventure, Drama, Family",8.5,"191,622",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Jodie Whittaker, Peter Capaldi"
"Love, Death & Robots",2019,15min,"Animation, Short, Comedy",8.5,"76,901","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Scott Whyte, Nolan North"
El Chavo del Ocho,1972,30min,"Comedy, Family, Fantasy",8.5,"7,388","The misadventures of a poor, homeless and fumbling boy and his friends in the humble neighborhood they live in.","Ramón Valdés, Carlos Villagrán"
Justified,2010,44min,"Action, Crime, Drama",8.5,"80,516","U.S. Marshal Raylan Givens's reassigned from Miami to his childhood home in the poor, rural coal mining towns in eastern Kentucky.","Timothy Olyphant, Nick Searcy"
Chef's Table,2015,50min,Documentary,8.5,"11,708","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Dan Barber, Massimo Bottura"
Dragon Ball: Doragon bôru,1986,24min,"Animation, Action, Adventure",8.5,"43,629","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.","Masako Nozawa, Jôji Yanami"
Poirot,1989,1h 40min,"Crime, Drama, Mystery",8.5,"35,033","The cases of eccentric, but sharp, Belgian detective Hercule Poirot (David Suchet).","David Suchet, Hugh Fraser"
Shin Seiki Evangelion,1995,10h 24min,"Animation, Action, Drama",8.5,"43,109",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Megumi Ogata, Megumi Hayashibara"
The Untold History of the United States,2012,58min,"Documentary, History, War",8.5,"7,513",Oliver Stone's re-examination of under-reported events in American history.,"Oliver Stone, Alan Shearman"
Justice League,2001,22min,"Animation, Action, Adventure",8.5,"38,501",Seven of the most formidable heroes form arguably the most powerful team ever.,"Carl Lumbly, Phil LaMarr"
Adventure Time with Finn & Jake,2010,11min,"Animation, Action, Adventure",8.5,"70,235","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other.","John DiMaggio, Jeremy Shada"
Boardwalk Empire,2010,55min,"Crime, Drama, History",8.5,"164,857",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Steve Buscemi, Kelly Macdonald"
Dragon Ball,1995,24min,"Animation, Action, Adventure",8.5,"49,724","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Brice Armstrong, Steve Olson"
The Bugs Bunny/Road Runner Hour,1968,55min,"Animation, Comedy",8.5,"8,466","Bugs Bunny and all his cartoon friends are stage performers entertaining audiences with 7 features per show, all of which are classic theatrical cartoons from the 1940s, 1950s, and 1960s. ...
                    See full summary »","Mel Blanc, Jim Backus"
Samurai chanpurû,2004,24min,"Animation, Action, Adventure",8.5,"36,841","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai, Ginpei Sato"
Flight of the Conchords,2007,28min,"Comedy, Music, Musical",8.5,"52,646","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","Jemaine Clement, Bret McKenzie"
Mystery Science Theater 3000,1988,1h 32min,"Comedy, Sci-Fi",8.5,"22,377","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","Joel Hodgson, Michael J. Nelson"
Formula 1: Drive to Survive,2019,40min,"Documentary, Sport",8.5,"10,101",Docuseries following the 2018 FIA Formula One World Championship.,"Pierre Gasly, Carlos Sainz"
The Family Man,2019,45min,"Action, Comedy, Drama",8.5,"15,292","The Family Man is an edgy action-drama series, which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the ...
                    See full summary »","Manoj Bajpayee, Priyamani"
The Defiant Ones,2017,1h,"Documentary, Biography, Crime",8.5,"9,996","""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Dr. Dre, Jimmy Iovine"
Generation Kill,2008,1h 10min,"Drama, War",8.5,"45,068","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Alexander Skarsgård, James Ransone"
"Yes, Prime Minister",1986,30min,Comedy,8.5,"8,810",James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,"Paul Eddington, Nigel Hawthorne"
Louie,2010,22min,"Comedy, Drama",8.5,"72,232","The life of Louie C.K., a divorced comedian living in New York with two kids.","Louis C.K., Hadley Delany"
The Night Of,2016,8h 45min,"Crime, Drama",8.5,"106,574","After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Riz Ahmed, John Turturro"
Twin Peaks,2017,1h,"Crime, Drama, Fantasy",8.5,"48,915",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Kyle MacLachlan, Sheryl Lee"
Coupling,2000,30min,"Comedy, Romance",8.5,"41,295",Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"Jack Davenport, Gina Bellman"
Big Little Lies,2017,1h,"Crime, Drama, Mystery",8.5,"132,656","The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.","Reese Witherspoon, Nicole Kidman"
The IT Crowd,2006,25min,Comedy,8.5,"124,377","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris O'Dowd, Richard Ayoade"
Mr. Bean,1990,5h 50min,"Comedy, Family",8.5,"94,131","Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Rowan Atkinson, Robin Driscoll"
Alfred Hitchcock Presents,1955,25min,"Comedy, Crime, Drama",8.5,"13,814","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Alfred Hitchcock, Harry Tyler"
Silicon Valley,2014,28min,Comedy,8.5,"115,238","Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","Thomas Middleditch, T.J. Miller"
Impractical Jokers,2011,30min,"Comedy, Reality-TV",8.5,"30,285","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","Brian Quinn, James Murray"
Mr. Robot,2015,49min,"Crime, Drama, Thriller",8.5,"306,861","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Rami Malek, Christian Slater"
Anne,2017,1h,Drama,8.5,"22,756","The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","Amybeth McNulty, Geraldine James"
Endeavour,2012,1h 29min,"Crime, Drama, Mystery",8.5,"16,016","Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans, Roger Allam"
Whose Line Is It Anyway?,1998,30min,"Comedy, Game-Show",8.5,"38,611",Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,"Drew Carey, Colin Mochrie"
Spartacus: Gods of the Arena,2011,5h 31min,"Action, Adventure, Biography",8.5,"120,268","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","John Hannah, Manu Bennett"
Horace and Pete,2016,1h 7min,"Comedy, Drama",8.5,"13,864","Louis C.K.'s Eugene O'Neill-esque dramedic web series about two brothers, introverted Horace and mentally ill Pete, the current owners of their family's Irish bar ""Horace and Pete's"", and their dysfunctional family and friends.","Louis C.K., Steve Buscemi"
The Punisher,2017,53min,"Action, Adventure, Crime",8.5,"164,646","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.","Jon Bernthal, Amber Rose Revah"
The Dark Crystal: Age of Resistance,2019,1h,"Adventure, Drama, Family",8.5,"17,577","Returns to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world.","Neil Sterenberg, Beccy Henderson"
Homicide: Life on the Street,1993,1h,"Crime, Drama, Mystery",8.5,"10,978",A police homicide investigation unit investigates violent crimes in the city of Baltimore.,"Richard Belzer, Clark Johnson"
Queer Eye,2018,45min,Reality-TV,8.5,"12,889","A new Fab Five set out to Atlanta to help the city's straight men refine their wardrobes, grooming, diet, cultural pursuits, and home décor.","Bobby Berk, Karamo Brown"
John Adams,2008,1h 11min,"Biography, Drama, History",8.5,"26,339","The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.","Paul Giamatti, Laura Linney"
Hannibal,2013,44min,"Crime, Drama, Horror",8.5,"211,319","Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.","Hugh Dancy, Mads Mikkelsen"
The Office,2001,30min,"Comedy, Drama",8.5,"91,410",The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"Ricky Gervais, Martin Freeman"
Detectorists,2014,30min,Comedy,8.5,"9,256","The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Mackenzie Crook, Toby Jones"
Letterkenny,2016,30min,Comedy,8.5,"10,435","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Jared Keeso, Michelle Mylett"
Black Books,2000,25min,Comedy,8.5,"51,342","Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","Dylan Moran, Bill Bailey"
Vikings,2013,44min,"Action, Adventure, Drama",8.5,"377,094","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Katheryn Winnick, Gustaf Skarsgård"
I'm Alan Partridge,1997,29min,Comedy,8.5,"17,485","Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career.","Steve Coogan, Simon Greenall"
Sons of Anarchy,2008,45min,"Crime, Drama, Thriller",8.5,"239,953",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Charlie Hunnam, Katey Sagal"
The New Batman Adventures,1997,30min,"Animation, Action, Adventure",8.5,"12,945","The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.","Kevin Conroy, Tara Strong"
Gintama,2005,-,"Animation, Action, Comedy",8.5,"5,203","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Tomokazu Sugita, Daisuke Sakaguchi"
Dr. Horrible's Sing-Along Blog,2008,42min,"Short, Comedy, Musical",8.5,"40,609",An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,"Neil Patrick Harris, Nathan Fillion"
Boku dake ga inai machi,2016,30min,"Animation, Drama, Fantasy",8.5,"20,654","29 year old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings in his 5th grade year.","Ben Diskin, Shinnosuke Mitsushima"
Spartacus: Blood and Sand,2010,55min,"Action, Adventure, Biography",8.5,"212,439","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield, Lucy Lawless"
Shigatsu wa kimi no uso,2014,23min,"Animation, Drama, Music",8.5,"11,797",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Natsuki Hanae, Risa Taneda"
Boku no hîrô akademia,2016,24min,"Animation, Action, Adventure",8.5,"23,449",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,"Daiki Yamashita, Justin Briner"
Luther,2010,1h,"Crime, Drama, Mystery",8.4,"112,294",DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,"Idris Elba, Dermot Crowley"
Feud,2017,45min,"Biography, Drama",8.4,"15,224","Planned anthology series centering on famous feuds, including Bette Davis and Joan Crawford that is discontinued at the moment.","Jessica Lange, Susan Sarandon"
Naruto: Shippûden,2007,24min,"Animation, Action, Adventure",8.4,"70,834","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Junko Takeuchi, Maile Flanagan"
Pose,2018,1h,Drama,8.4,"13,789","Pose is set in the world of 1987 and ""looks at the juxtaposition of several segments of life and society in New York: the rise of the luxury universe, the downtown social and literary scene and the ball culture world.""","Mj Rodriguez, Dominique Jackson"
The Knick,2014,58min,"Drama, History",8.4,"41,149",A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Clive Owen, André Holland"
Check It Out! with Dr. Steve Brule,2010,11min,"Comedy, Talk-Show",8.4,"5,240","See Dr. Steve learn about restaurants, spend time with his family, conquer his fears, and more. Featuring guest appearances by Jan Skylar, Wayne Skylar, and David Liebe Hart.","John C. Reilly, Carol Kraft"
Kôkaku kidôtai: Stand Alone Complex,2002,24min,"Animation, Action, Crime",8.4,"17,046",The futuristic adventures of a female cyborg counter intelligence agent and her support team.,"Shirô Saitô, Mary Elizabeth McGlynn"
Rurôni Kenshin - Meiji kenkaku romantan,1996,24min,"Animation, Action, Adventure",8.4,"16,537",The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,"Mayo Suzukaze, Richard Cansino"
The Venture Bros.,2003,22min,"Animation, Comedy, Sci-Fi",8.4,"22,565","The bizarre animated escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high strung bodyguard, and his two over-enthusiastic sons.","Christopher McCulloch, James Urbaniak"
Clannad: After Story,2008,24min,"Animation, Comedy, Drama",8.4,"7,695","A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...
                    See full summary »","Yûichi Nakamura, David Matranga"
Community,2009,22min,Comedy,8.4,"181,634",A suspended lawyer is forced to enroll in a community college with an eclectic staff and student body.,"Joel McHale, Danny Pudi"
Wentworth,2013,45min,"Crime, Drama",8.4,"15,653",Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,"Kate Atkinson, Robbie Magasiva"
Mob Psycho 100,2016,24min,"Animation, Action, Horror",8.4,"9,384","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Setsuo Ito, Takahiro Sakurai"
Samurai Jack,2001,25min,"Animation, Action, Adventure",8.4,"42,152",A samurai sent through time fights to return home and save the world.,"Phil LaMarr, Mako"
Der Tatortreiniger,2011,26min,"Comedy, Crime",8.4,"5,325","The bizarre everyday adventures of Heiko ""Schotty"" Schotte, whose profession is to clean up crime scenes.","Bjarne Mädel, Peer Martiny"
"Unsere Mütter, unsere Väter",2013,4h 30min,"Action, Drama, History",8.4,"23,288",Five friends go out to war and promise each other to be back for Christmas.,"Volker Bruch, Tom Schilling"
Unbelievable,2019,6h 25min,"Crime, Drama",8.4,"49,025","Based on the true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed the path to the truth.","Kaitlyn Dever, Toni Collette"
Sseulsseulhago Chalranhashin: Dokkaebi,2016,1h,"Drama, Fantasy, Romance",8.4,"7,336","Dokkaebi (Gong Yoo) needs a human bride to end his immortal life. Meanwhile, the Angel of Death has amnesia. Somehow these two meet and live together. They see off those who have passed away and are now leaving this world.","Yoo Gong, Go-eun Kim"
Mushishi,2005,25min,"Animation, Drama, Fantasy",8.4,"10,987","They are neither plants nor animals. They differ from other forms of life such as the micro-organisms and the fungi. Instead they resemble the primeval body of life and are generally known ...
                    See full summary »","Yûto Nakano, Travis Willingham"
This Is England '90,2015,55min,"Crime, Drama",8.4,"6,182","The year is 1990, the rave scene has just entered England. The sound of the Stone roses lurks toward Shaun and the gang. This means that Woody and Lol are living in a domestic bliss, they are happy again. But this year will see huge changes in everyone. This is the year 1990. This is England.","Lyra Mae Thomas, Billy Braithwait"
Futurama,1999,22min,"Animation, Comedy, Sci-Fi",8.4,"204,409","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Billy West, John DiMaggio"
American Crime Story,2016,42min,"Biography, Crime, Drama",8.4,"73,095",An anthology series centered around America's most notorious crimes and criminals.,"Sarah Paulson, Annaleigh Ashford"
X-Men,1992,23min,"Animation, Action, Family",8.4,"35,662",A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,"Cedric Smith, Cathal J. Dodd"
La Casa de Papel,2017,1h 10min,"Action, Crime, Mystery",8.4,"188,570",A group of unique robbers assault the Factory of Moneda and Timbre to carry out the most perfect robbery in the history of Spain and take home 2.4 billion euros.,"Úrsula Corberó, Itziar Ituño"
L'amica geniale,2018,50min,"Drama, Family, Romance",8.4,"6,111",A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"Valentina Acca, Antonio Buonanno"
Inside No. 9,2014,30min,"Comedy, Drama, Horror",8.4,"10,137","Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.","Reece Shearsmith, Steve Pemberton"
Ezel,2009,1h 30min,"Crime, Drama, Thriller",8.4,"23,116","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Kenan Imirzalioglu, Cansu Dere"
The Handmaid's Tale,2017,1h,"Drama, Sci-Fi, Thriller",8.4,"147,543","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Elisabeth Moss, Yvonne Strahovski"
Masum,2017,1h,"Crime, Drama, Mystery",8.4,"11,126","Cevdet (Haluk Bilginer), a retired commissioner, and his wife spend their pensions in peace on a farm away from the city. Suddenly the life of the family is destroyed by the sudden arrival of a terrible news from the little son.","Haluk Bilginer, Nur Sürer"
Ash vs Evil Dead,2015,30min,"Action, Comedy, Fantasy",8.4,"60,820","Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.","Bruce Campbell, Ray Santiago"
Scener ur ett äktenskap,1973,4h 43min,Drama,8.4,"14,178",Ten years within the marriage of Marianne and Johan.,"Liv Ullmann, Erland Josephson"
Avrupa Yakasi,2004,1h,Comedy,8.4,"14,543",The life and times of rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"Gülse Birsel, Levent Üzümcü"
The Expanse,2015,1h,"Drama, Mystery, Sci-Fi",8.4,"87,619","A police detective in the asteroid belt, the first officer of an interplanetary ice freighter, and an earth-bound United Nations executive slowly discover a vast conspiracy that threatens the Earth's rebellious colony on the asteroid belt.","Steven Strait, Cas Anvar"
